id	user_id	movie_id	score	rank
00000000-0000-0000-0000-000000000001_01	00000000-0000-0000-0000-000000000001	196	6.800684928894043	1
00000000-0000-0000-0000-000000000001_02	00000000-0000-0000-0000-000000000001	76	6.372201919555664	2
00000000-0000-0000-0000-000000000001_03	00000000-0000-0000-0000-000000000001	83	6.302576065063477	3
00000000-0000-0000-0000-000000000001_04	00000000-0000-0000-0000-000000000001	228	6.080996036529541	4
00000000-0000-0000-0000-000000000001_05	00000000-0000-0000-0000-000000000001	96	6.043177604675293	5
00000000-0000-0000-0000-000000000001_06	00000000-0000-0000-0000-000000000001	46	5.942183494567871	6
00000000-0000-0000-0000-000000000001_07	00000000-0000-0000-0000-000000000001	16	5.84065580368042	7
00000000-0000-0000-0000-000000000001_08	00000000-0000-0000-0000-000000000001	78	5.72736930847168	8
00000000-0000-0000-0000-000000000001_09	00000000-0000-0000-0000-000000000001	21	5.694426536560059	9
00000000-0000-0000-0000-000000000001_10	00000000-0000-0000-0000-000000000001	203	5.671257019042969	10
00000000-0000-0000-0000-000000000001_11	00000000-0000-0000-0000-000000000001	417	5.610464096069336	11
00000000-0000-0000-0000-000000000001_12	00000000-0000-0000-0000-000000000001	219	5.586593151092529	12
00000000-0000-0000-0000-000000000001_13	00000000-0000-0000-0000-000000000001	81	5.566190719604492	13
00000000-0000-0000-0000-000000000001_14	00000000-0000-0000-0000-000000000001	101	5.553512096405029	14
00000000-0000-0000-0000-000000000001_15	00000000-0000-0000-0000-000000000001	116	5.5501813888549805	15
00000000-0000-0000-0000-000000000001_16	00000000-0000-0000-0000-000000000001	546	5.5477447509765625	16
00000000-0000-0000-0000-000000000001_17	00000000-0000-0000-0000-000000000001	17	5.53767204284668	17
00000000-0000-0000-0000-000000000001_18	00000000-0000-0000-0000-000000000001	27	5.51325798034668	18
00000000-0000-0000-0000-000000000001_19	00000000-0000-0000-0000-000000000001	270	5.5094733238220215	19
00000000-0000-0000-0000-000000000001_20	00000000-0000-0000-0000-000000000001	148	5.492265701293945	20
00000000-0000-0000-0000-000000000002_01	00000000-0000-0000-0000-000000000002	282	5.517112731933594	1
00000000-0000-0000-0000-000000000002_02	00000000-0000-0000-0000-000000000002	276	5.1372833251953125	2
00000000-0000-0000-0000-000000000002_03	00000000-0000-0000-0000-000000000002	278	4.8763580322265625	3
00000000-0000-0000-0000-000000000002_04	00000000-0000-0000-0000-000000000002	21	4.859262466430664	4
00000000-0000-0000-0000-000000000002_05	00000000-0000-0000-0000-000000000002	292	4.793768405914307	5
00000000-0000-0000-0000-000000000002_06	00000000-0000-0000-0000-000000000002	1012	4.7899274826049805	6
00000000-0000-0000-0000-000000000002_07	00000000-0000-0000-0000-000000000002	988	4.777124881744385	7
00000000-0000-0000-0000-000000000002_08	00000000-0000-0000-0000-000000000002	1371	4.747527122497559	8
00000000-0000-0000-0000-000000000002_09	00000000-0000-0000-0000-000000000002	1006	4.6749372482299805	9
00000000-0000-0000-0000-000000000002_10	00000000-0000-0000-0000-000000000002	509	4.640016555786133	10
00000000-0000-0000-0000-000000000002_11	00000000-0000-0000-0000-000000000002	290	4.586424350738525	11
00000000-0000-0000-0000-000000000002_12	00000000-0000-0000-0000-000000000002	1214	4.534517765045166	12
00000000-0000-0000-0000-000000000002_13	00000000-0000-0000-0000-000000000002	1372	4.53408145904541	13
00000000-0000-0000-0000-000000000002_14	00000000-0000-0000-0000-000000000002	280	4.531273365020752	14
00000000-0000-0000-0000-000000000002_15	00000000-0000-0000-0000-000000000002	196	4.529186725616455	15
00000000-0000-0000-0000-000000000002_16	00000000-0000-0000-0000-000000000002	986	4.520099639892578	16
00000000-0000-0000-0000-000000000002_17	00000000-0000-0000-0000-000000000002	1476	4.520084381103516	17
00000000-0000-0000-0000-000000000002_18	00000000-0000-0000-0000-000000000002	1016	4.5016679763793945	18
00000000-0000-0000-0000-000000000002_19	00000000-0000-0000-0000-000000000002	1225	4.477882385253906	19
00000000-0000-0000-0000-000000000002_20	00000000-0000-0000-0000-000000000002	1005	4.463561058044434	20
00000000-0000-0000-0000-000000000003_01	00000000-0000-0000-0000-000000000003	270	3.4547996520996094	1
00000000-0000-0000-0000-000000000003_02	00000000-0000-0000-0000-000000000003	17	3.4218759536743164	2
00000000-0000-0000-0000-000000000003_03	00000000-0000-0000-0000-000000000003	46	3.384730815887451	3
00000000-0000-0000-0000-000000000003_04	00000000-0000-0000-0000-000000000003	78	3.3698651790618896	4
00000000-0000-0000-0000-000000000003_05	00000000-0000-0000-0000-000000000003	16	3.3628487586975098	5
